商品ｺｰﾄﾞ,商品名,商品名索引,単位,個数単位,主仕入先ｺｰﾄﾞ
S720156I00501,YBﾊﾞﾝﾄﾞ 透明 15×2500,YBﾊﾞﾝﾄﾞ,巻,,720156
S720156I00502,ｻﾝﾊﾞﾝﾄﾞ 透明,ｻﾝﾊﾞﾝﾄﾞ,巻,,720156
S720156I00801,ｽﾄﾚｯﾁﾌｨﾙﾑ 0.17*500*300,ｽﾄﾚｯﾁﾌｨﾙﾑ,本,,720156
S720156I00802,ｽﾄﾚｯﾁﾌｨﾙﾑ EK0.15*500*300,ｽﾄﾚｯﾁﾌｨﾙﾑ,本,,720156
S720235D00101,2128-70度 ﾊﾟｰﾌﾟﾙ/25kgx13kgx1,2128-70ﾄﾞ,,,720235
S720235D00102,2128-70度 ﾊﾟｰﾌﾟﾙ/25kgx93kgx1,2128-70ﾄﾞ,,,720235
S720235D00201,25-100A 黒 *,,,,720235
S720235D00301,25-100ﾌﾞﾙｰ,,,,720235
S720235D00401,25-120 灰 ･,,,,720235
S720235D00501,25-150 ｸﾞﾚｰ,,,,720235
S720235D00601,25-60 ﾗｲﾄｸﾞﾚｰ,,,,720235
S720235D00701,25-80 F2 黒 *,,,,720235
S720235D00801,25-80 非移行 ﾍﾞｰｼﾞｭ,,,,720235
S720235D00901,25-90 非移行 ｸﾞﾚｰ *,,,,720235
S720235D01001,25-95 ﾗｲﾄｸﾞﾚｰ,,,,720235
S720235D01101,25-FE55 黒,,,,720235
S720235D01201,40-150,,,,720235
S720235D01301,40-150SE 2013ｵﾚﾝｼﾞ,,,,720235
S720235D01302,40-150SE 2013（レッド）（LOT:167kg）,(ﾚｯﾄﾞ),,,720235
S720235D01401,40-150SE ｲｴﾛｰ,,,,720235
S720235D01501,40-150SE（ﾌﾞﾗｯｸ）,,,,720235
S720235D01601,6-21-22933 ﾌﾞﾙｰ,6-21-22933,ut,,720305
S720235D01701,CA-100 ﾌﾞﾙｰ (非鉛),,,,720235
S720235D01801,CA-100 黒 (非鉛) ･,,,,720235
S720235D01901,EN-50 非鉛-90A,ｴn-50 ﾋｴﾝﾋ,kg,,720235
S720235D02001,OT-1005D ｸﾞﾚｰ (400㎏以上),,,,720235
S720235D02101,OT-161 ｵﾚﾝｼﾞ (400KG未満),,,,720235
S720235D02202,OT-166P ﾚﾓﾝｲｴﾛｰ 400KG～,,kg,,720235
S720235D02203,OT-166P ﾚﾓﾝｲｴﾛｰ 400KG未満,,kg,,720235
S720235D02301,OT-200D ｲｴﾛｰ (400㎏以上),,,,720235
S720235D02401,OT-2128 ﾊﾟｰﾌﾟﾙ,OT-2128ﾊﾟｰ,,,720235
S720235D02501,OT-213 ｸﾞﾘｰﾝ,,,,720235
S720235D02601,OT-300D ｱｲﾎﾞﾘｰ (400㎏以上),,,,720235
S720235D02701,OT-3721 ﾀﾞｰｸﾌﾞﾙｰ,,,,720235
S720235D02901,OT-3722P ｱｲﾎﾞﾘｰﾎﾜｲﾄ,,,,720235
S720235D02902,OT-3722P ｱｲﾎﾞﾘｰﾎﾜｲﾄ 400kg～,,,,720235
S720235D03001,OT-3723P ｸﾞﾚｰ,,,,720235
S720235D03101,OT-400P ﾌﾞﾗｳﾝ (400㎏未満)*,,,,720235
S720235D03201,OT-500T 黒 (400㎏未満)*,,,,720235
S720235D03301,OT-5B ｲｴﾛｰ (400㎏未満),,,,720235
S720235D03401,OT-6B ｱｲﾎﾞﾘｰ (400㎏未満),,,,720235
S720235D03501,OT-70度 ｸﾘｱｰ,,,,720235
S720235D03801,OT-90A ｺｹﾞﾁｬ,,,,720235
S720235D03901,OT-H ｸﾞﾘｰﾝ,,,,720235
S720235D03902,OT-90A ｵﾚﾝｼﾞ *,,,,102001
S720235D04001,OT-H ﾌﾞﾙｰ,,,,720235
S720235D04101,OT-K ｸﾞﾚｰ1,,,,720235
S720235D04201,OT-T ｸﾘｱｰ,,,,720235
S720235D04301,OT-T 透明2 (300㎏以上)*,,,,720235
S720235D04401,OT-TNC 35 黒,,,,720235
S720235D04501,OT-蛍光 黒*,,,,720235
S720235D04701,TNC80 黒 ～399kg,,,,720235
S720235D04702,TNC80 黒 400kg～,,,,720235
S720235D04801,再生 FE55HA 黒,ｻｲｾｲ ﾌｪ55ﾊ,,,720235
S720235D04901,半硬1005 ｸﾞﾚｰ,,,,720235
S720235I00101,2606 ROHS(改) 黒 (二色ｸﾞﾚﾁｬﾝ原料),2606 ROHS,ｋｇ,ｋｇ,720235
S720235I00201,MX E-555 ﾌﾞﾗｯｸ,MX E-555,ｋｇ,ｋｇ,720235
S720235I00301,TI-FG 1492 濃茶,TI-FG 1492,ｋｇ,ｋｇ,720235
S720235I00302,TI-FG 1650 紺ﾊﾟｰﾙ,TI-FG 1650,ｋｇ,ｋｇ,720235
S720235I00303,TI-FG 1797 ﾋﾟﾝｸﾊﾟｰﾙ,TI-FG 1797,ｋｇ,ｋｇ,720235
S720235I00304,TI-FG 2068 緑ﾊﾟｰﾙ,TI-FG 2068,ｋｇ,ｋｇ,720235
S720235I00305,TI-FG 2119 ｼｬﾝﾊﾟﾝ,TI-FG 2119,ｋｇ,ｋｇ,720235
S720235I00306,TI-FG 2120 ﾊﾟｰﾌﾟﾌﾞﾙｰ,TI-FG 2020,ｋｇ,ｋｇ,720235
S720235I00307,TI-FG 2519A ﾌﾞﾗｳﾝ,TI-FG 2519,ｋｇ,ｋｇ,720235
S720235I00308,TI-FG 2520 茶ﾊﾟｰﾙ,TI-FG ﾁｬﾊﾟ,ｋｇ,ｋｇ,720235
S720235I00309,TI-FG 7341 赤ﾊﾟｰﾙ,TI-FG 7341,ｋｇ,ｋｇ,720235
S720235I00310,TI-FG 7414 橙ﾊﾟｰﾙ,TI-FG ﾀﾞｲﾀ,ｋｇ,ｋｇ,720235
S720235I00311,TI-FG 8367 ｼﾙﾊﾞｰ,TI-FG 8367,ｋｇ,ｋｇ,720235
S720235I00312,TI-FG 8724 青ﾊﾟｰﾙ,TI-FG 8724,ｋｇ,ｋｇ,720235
S720235I00313,TI-FG(ﾌｧｽﾅｰｶﾞｰﾄﾞ用),TI-FG,ｋｇ,ｋｇ,720235
S720235I00401,TI-HT 0016 黒,TI-HT,ｋｇ,ｋｇ,720235
S720235I00402,TI-HT 1492 濃茶,TI-HT 1492,ｋｇ,ｋｇ,720235
S720235I00403,TI-HT 1985 茶,TI-HT 1985,ｋｇ,ｋｇ,720235
S720235I00404,TI-HT(A) 0016 黒 三輝ﾖﾘ以来有償ｻﾝﾌﾟﾙ,TI-HT,ｋｇ,ｋｇ,720235
S720235I00405,TI-HT(ﾍﾘﾃｰﾌﾟ用,TI-HT,ｋｇ,ｋｇ,720235
S720235I00501,TI-MZG ﾍﾞｰｼﾞｭ,TI-MZG,ｋｇ,ｋｇ,720235
S720235I00502,TI-MZG(ｸﾞﾚﾁｬﾝ用),TI-MZG,ｋｇ,ｋｇ,720235
S720235I00601,軟質 2606 黒,ﾅﾝｼﾂ 2606,ｋｇ,ｋｇ,720235
S720261D00101,D456 GY07 ｸﾞﾚｰ,,,,720235
S720305D00001,ｻｰﾘﾝｸ用5%ﾊﾞｯﾁ 15-01236 DBｸﾞﾚｰ,,,,720305
S720305D00201,ﾚｼﾞﾉｶﾗｰMB-Y-7227EV 3%添加品（白）,,kg,kg,720305
S720305D10000,ﾀﾞｲﾕｳｶｾｲ 5512-60 (透明) 300kg以上,5512-60(,kg,,720305
S720305D10001,ﾀﾞｲﾕｳｶｾｲ 5512-60 (透明) 300kg未満,5512-60,Kg,,720305
S720305D10100,ﾀﾞｲﾕｳ 5514-70 No2 白 300kg以上 Sn系,5514-70 no,kg,,720305
S720305D10200,ﾀﾞｲﾕｳ 5514-70A No.3-白(改2※)Ca-Zn系,5514-70A,kg,,720305
S720305D10300,ﾀﾞｲﾕｳ E-2HC9-A No.4-白(非ﾌﾀﾙ)1000kg,E-2HC9ｶｲ2,kg,,720305
S720305D10301,ﾀﾞｲﾕｳ E-2HC9-A No.4-白(非ﾌﾀﾙ) 300kg,E-2HC9ｶｲ2,kg,,720305
S720305D10400,ﾀﾞｲﾕｳ 5514-70AN 標準白 DINP Ca-Zn系,5514-70AN,kg,,720305
S720305D11000,ﾀﾞｲﾕｳｶｾｲ 2023-ZNP 黒 300kg～,,U/T,,720305
S720305D11001,ﾀﾞｲﾕｳｶｾｲ 2023-ZNP 黒 25㎏～,,kg,,720305
S720305D11100,ﾀﾞｲﾕｳｶｾｲ E-1012 黒 300kg～,ｴ-1012 ｸﾛ,kg,,720305
S720305D11200,ﾀﾞｲﾕｳｶｾｲ E-1340-T ｱｲﾎﾞﾘｰ 100kg～,E-1340-T ｱ,kg,,720305
S720305D11201,ﾀﾞｲﾕｳｶｾｲ E-1340-T ｱｲﾎﾞﾘｰ 300kg～,E-1340-T ｱ,kg,,720305
S720305D11300,ﾀﾞｲﾕｳｶｾｲ E-1340-T ﾀﾞｰｸﾌﾞﾗｳﾝ 100kg～,E-1340-T ﾀ,kg,,720305
S720305D11301,ﾀﾞｲﾕｳｶｾｲ E-1340-T ﾀﾞｰｸﾌﾞﾗｳﾝ 300kg～,E-1340-T ﾀ,kg,,720305
S720305D11400,ﾀﾞｲﾕｳｶｾｲ E-1340-T 黒 100kg～,E-1340-T ｸ,kg,,720305
S720305D11401,ﾀﾞｲﾕｳｶｾｲ E-1340-T 黒 300kg～,E-1340-T ｸ,kg,,720305
S720305D11500,ﾀﾞｲﾕｳｶｾｲ E-1899-100 白 25kg～,E-1899-100,kg,25,720305
S720305D11600,ﾀﾞｲﾕｳｶｾｲ E-2T22 ｸﾞﾚｰ,S-PVC,kg,,720305
S720305D11700,ﾀﾞｲﾕｳｶｾｲ E-3062 ｸﾞﾚｰ 300kg以上,ｴｰ3062,kg,,720305
S720305D11701,ﾀﾞｲﾕｳｶｾｲ E-3062 ｸﾞﾚｰ 300kg未満,ｴ-3062 ｸﾞﾚ,kg,,720305
S720305D11800,ﾀﾞｲﾕｳｶｾｲ E-3062 ﾊﾟｰﾌﾟﾙ 300kg以上,E-3062,kg,,720305
S720305D11801,ﾀﾞｲﾕｳｶｾｲ E-3062 ﾊﾟｰﾌﾟﾙ 300㎏未満,E-3062,kg,,720305
S720305D11900,ﾀﾞｲﾕｳｶｾｲ E-3081 黒 300kg以上, 300kgｲｼﾞｮ,,,720305
S720305D11901,ﾀﾞｲﾕｳｶｾｲ E-3081 黒 300kg未満,,kg,,720305
S720305D11902,ﾀﾞｲﾕｳｶｾｲ E-2042-T 青 300kg未満,E-2042-Tｱｵ,kg,,720305
S720305D11903,ﾀﾞｲﾕｳｶｾｲ E-2042-T 青 300kg以上,E-2042-Tｱｵ,kg,,720305
S720305D11904,ﾀﾞｲﾕｳｶｾｲ E-2042-T 黄 300kg未満,E-2042-Tｷｲ,kg,,720305
S720305D11905,ﾀﾞｲﾕｳｶｾｲ E-2042-T 黄 300kg以上,E-2042-Tｷｲ,kg,,720305
S720305D11906,ﾀﾞｲﾕｳｶｾｲ E-2042-T ﾐﾄﾞﾘ　300kg未満,E-2042-Tﾐﾄ,kg,,720305
S720305D11907,ﾀﾞｲﾕｳｶｾｲ E-2042-T ﾐﾄﾞﾘ　300kg以上,E-2042-Tﾐﾄ,kg,,720305
S720305D11908,ﾀﾞｲﾕｳｶｾｲ E-2042-T　ﾋﾟﾝｸ　300kg未満,E-2042-Tﾋﾟ,kg,,720305
S720305D11909,ﾀﾞｲﾕｳｶｾｲ E-2042-T　ﾋﾟﾝｸ　300kg以上,E-2042-Tﾋﾟ,kg,,720305
S720305D12000,ﾀﾞｲﾕｳｶｾｲ D-100-LA 300kg以上,,kg,,720305
S720305D12001,ﾀﾞｲﾕｳｶｾｲ D-100-LA 300kg未満,d-100-ｧ,kg,,720305
S720305D12100,ﾀﾞｲﾕｳｶｾｲ 2125‐Z　ｸｰﾙｸﾞﾚｰ　100kg以上,2125-Z 300,kg,,720305
S720305D12101,ﾀﾞｲﾕｳｶｾｲ 2125‐Z　ｸｰﾙｸﾞﾚｰ　300kg以上,2125-Z 300,kg,,720305
S720305D20000,ﾄｳﾜ 2-15-7513 蛍光ｵﾚﾝｼﾞ,,,,720305
S720305D20100,ﾄｳﾜ 2-21-33210 ﾌﾞﾙｰ,2-21-33210,u/t,1,720305
S720305D20200,ﾄｳﾜ 2-22-23643 蛍光ｸﾞﾘｰﾝ,2-22-23643,kg,,720305
S720305D20300,ﾄｳﾜ 2-24-17595 5%,,,,720305
S720305D20400,ﾄｳﾜ 2-28-22138 ｸﾞﾚｰ5%,,,,720305
S720305D20500,ﾄｳﾜ 2-28-28886 ｸﾞﾚｰ,,,,720305
S720305D20600,ﾄｳﾜ 2-28-31267 ｽﾓｰｸｸﾞﾚｰ,2-28-31267,UT,,720305
S720305D20700,ﾄｳﾜ 3-15-7220 ｵﾚﾝｼﾞ(IH),,,,720305
S720305D20800,ﾄｳﾜ 3-21-32291 ﾌﾞﾙｰ (ｽﾁﾚﾝ系ｴﾗｽﾄﾏｰ用),ｽﾁﾚﾝｹｲｴﾗｽﾄ,U/T,,720305
S720305D20900,ﾄｳﾜ 3-21-32292 ﾌﾞﾙｰ (ｽﾁﾚﾝ系ｴﾗｽﾄﾏｰ用),,U/T,,720305
S720305D21000,ﾄｳﾜ 3-21-32294 ﾌﾞﾙｰ (ｽﾁﾚﾝ系ｴﾗｽﾄﾏｰ用),4,U/T,,720305
S720305D21100,ﾄｳﾜ 3-23-5284 10% (ｼｮｳﾜｺｳｻﾝ),,,,720305
S720305D21200,ﾄｳﾜ 8-29-4799 (PC黒透明着色ﾊﾟｳﾀﾞｰ),8-29-4799(,u/t,1,720305
S720305D21400,ﾄｳﾜ 9-14-12606 ｲｴﾛｰ,9-14-12606,ut,,720305
S720305D21500,ﾄｳﾜ 9-15-9134 ｵﾚﾝｼﾞ,5514-70 ﾉ.,ut,,720305
S720305D21600,ﾄｳﾜ 9-17-15689 ﾋﾟﾝｸ,9-17-15689,ut,,720305
S720305D21700,ﾄｳﾜ 9-18-14380 ﾚｯﾄﾞ,9-18-14380,UT,,720305
S720305D21800,ﾄｳﾜ 9-21-31156 ﾌﾞﾙｰ,9-21-31156,kg,,720305
S720305D21900,ﾄｳﾜ 9-21-31256 ﾌﾞﾙｰ,9-21-31256,UT,,720305
S720305D22000,ﾄｳﾜ 9-22-23652 ｸﾞﾘｰﾝ,9-22-23652,ut,,720305
S720305D22100,ﾄｳﾜ 9-22-23715 ｸﾞﾘｰﾝ,9-22-23715,UT,,720305
S720305D22200,ﾄｳﾜ 9-24-20144 ﾌﾞﾗｳﾝ,db6-24-201,UT,,720305
S720305D22300,ﾄｳﾜ 9-28-30047 ﾀﾞｰｸｸﾞﾚｰ(ｿﾌﾄｱｸﾘﾙ用),,,,720305
S720305D22400,ﾄｳﾜ 9-28-31128 ﾄﾞﾗｲｶﾗｰ,9-28-31128,,,720305
S720305D22500,ﾄｳﾜ 9-28-31185 ｸﾞﾚｰ,9-28-31185,,,720305
S720305D22600,ﾄｳﾜ 9-29-4242 ﾌﾞﾗｯｸ,9-29-4242,,,720305
S720305D22700,ﾄｳﾜ AC23-02086A（拡散材）,,kg,,720305
S720305D22800,ﾄｳﾜ DB1-29-0379 ｸﾛ2%,,,,720305
S720305D22900,ﾄｳﾜ DB15-01236 ｸﾞﾚｰ5% (ｻｰﾘﾝｸ用),,,,720305
S720305D23000,ﾄｳﾜ DB18-030110 3% ｸﾞﾚｰ,,,,720305
S720305D23100,ﾄｳﾜ DB2-11-14802A,db2-11-148,kg,,720305
S720305D23200,ﾄｳﾜ DB2-14-11058 ｲｴﾛｰ,db2-14-110,kg,,720305
S720305D23300,ﾄｳﾜ DB2-15-7438A,db2-15-743,kg,,720305
S720305D23400,ﾄｳﾜ DB2-23-5899 ﾍﾞｰｼﾞｭ,,,,720305
S720305D23500,ﾄｳﾜ DB2-28-28061 ｸﾞﾚｰ,db2-28-280,kg,,720305
S720305D23600,ﾄｳﾜ DB2-28-33153 ｸﾞﾚｰ(Cﾊﾟｰﾂ用),2-28-33153,KG,25,720305
S720305D23700,ﾄｳﾜ DB3-28-31801 ｸﾞﾚｰ,DB3-28-318,kg,kg,720305
S720305D23800,ﾄｳﾜ DB4-11-1676X10,,,,720305
S720305D23900,ﾄｳﾜ DB4-12-9420 ｱｲﾎﾞﾘｰ10% (ｼﾞｭｹﾝ),,,,720305
S720305D24000,ﾄｳﾜ DB4-23-7477 ﾍﾞｰｼﾞｭ5% (ｼﾞｭｹﾝ),,,,720305
S720305D24100,ﾄｳﾜ DB4-24-19642 ﾌﾞﾗｳﾝ10% (ｼﾞｭｹﾝ),,,,720305
S720305D24200,ﾄｳﾜ DB6-24-20131 ﾌﾞﾗｳﾝ5%,db6-24-201,kg,,720305
S720305D24300,ﾄｳﾜ DB6-24-21149（ﾊﾟﾗﾍﾟｯﾄMB）,24-21149,,,720305
S720305D24400,ﾄｳﾜ DB9-11-14679 白5%,db9-11-146,,kg,720305
S720305D24500,ﾄｳﾜ DB9-28-31128 ｸﾞﾚｰ5%,db9-28-311,kg,,720305
S720305D24600,ﾄｳﾜ DB9-29-4727MB,9-29-4727,kg,25,720305
S720305D24700,ﾄｳﾜ EX4-23-8426,ｴx4-23-842,Kg,,720305
S720305D24800,旭化成 ｽﾀｲﾗｯｸ (A4130) 25kgﾛｯﾄ,ｽﾀｲﾗｯｸ A41,kg,25,720305
S720305D24900,ﾄｳﾜ EX4-28-33132 ｸﾞﾚｰ着ﾍﾟﾚ 25kgﾛｯﾄ,A4130ﾍﾞｰｽ,kg,25,720305
S720305D24901,ﾄｳﾜ EX4-28-33132 ｸﾞﾚｰ着ﾍﾟﾚ 100kgﾛｯﾄ,A4130ﾍﾞｰｽ,kg,25,720305
S720305D25000,ﾄｳﾜ EX6-26-4271 (ﾊﾟﾗﾍﾟｯﾄ ｼﾙﾊﾞｰ着ﾍﾟﾚ),EX6-26-427,kg,25,720305
S720305D25100,ﾄｳﾜ EX8-29-4799C (PC黒透明濃度1/2),EX8-29-479,kg,25,720305
S720305D25200,EX9-11-16878 NW201白着ﾍﾟﾚ 25kg,EX9-11-168,kg,25,720305
S720305D25201,EX9-11-16878 NW201白着ﾍﾟﾚ 100kg,EX9-11-168,kg,25,720305
S720305D25300,EX9-11-20134(FR201/NW001 白4倍)100kg,EX9-11-168,kg,25,720305
S720305D25400,ﾄｳﾜ MB-Y7227EV ﾎﾜｲﾄ　※ｼﾖｳｼﾅｲ,,,,720305
S720305D25500,ﾄｳﾜ MC2-22-23618 ｸﾞﾘｰﾝ,mc2-22-236,kg,,720305
S720305D25501,ﾄｳﾜ　2-22-25652　ｸﾞﾘｰﾝ家具安定板,,ut,,720305
S720305D25600,ﾄｳﾜ MC2-23-5285 ﾍﾞｰｼﾞｭ (ｼｮｳﾜｺｳｻﾝ),,,,720305
S720305D25700,ﾏﾙﾊｶｶﾞｸ P-4316 ﾌﾞﾗｯｸ,,kg,,720305
S720305D25800,ﾄｳﾜ PEM20026 ｲｴﾛｰ (50kg～),,,,720305
S720305D25900,ﾄｳﾜ DB2-28-34170,DB2-28,kg,,720305
S720305D25901,PP用MB　ﾎﾜｲﾄ　10％品,PPﾖｳMB  ﾎﾜ,㎏,,720305
S720305D26001,PP用MB　ﾌﾞﾗｳﾝ　5％品,PPﾖｳMBﾎﾜｲﾄ,㎏,,720305
S720305D27001,PP用MB　ﾍﾞｰｼﾞｭ　5％品,PPﾖｳMBﾍﾞｰｼ,㎏,,720305
S720305D27100,ﾄｳﾜ DB2-28-26812,ﾄｳﾜ db2-28,,,720305
S720305D27101,ﾄｳﾜ 9-11-18912白ｿﾌﾄｱｸﾘﾙ用高濃度白,ﾄｳﾜ 9-11-1,U/T,,720305
S720305D27102,9-24-21764 ﾌﾞﾗｳﾝ,9-24-21764,U/T,,720305
S720305D27103,9-29-7167 ﾌﾞﾗｯｸ,9-29-7167,U/T,,720305
S720305D28001,ﾌﾞﾚﾝﾄﾞｵｲﾙ #7 15L入,ﾌﾞﾚﾝﾄﾞｵｲﾙ,缶,,720305
S720305I00101,2125-Z 黒,2125-z,kg,,720305
S720305I00201,ﾏｽﾀｰﾊﾞｯﾁ DB16-09169 ｸﾞﾚｰ,ﾏｽﾀｰﾊﾞｯﾁ,ｋｇ,,720305
S720305I00202,ﾏｽﾀｰﾊﾞｯﾁ DB2-21-23638 ﾌﾞﾙｰ,ﾏｽﾀｰﾊﾞｯﾁ,ｋｇ,,720305
S720305I00203,ﾏｽﾀｰﾊﾞｯﾁ DB3-28-31801 ｸﾞﾚｰ,ﾏｽﾀｰﾊﾞｯﾁ,ｋｇ,,720305
S720305I00204,ﾏｽﾀｰﾊﾞｯﾁ4-21-23018 EXﾌﾞﾙｰ100kg以上,ﾏｽﾀｰﾊﾞｯﾁ,ｋｇ,,720305
S720305I00205,ﾏｽﾀｰﾊﾞｯﾁ4-21-23018 EXﾌﾞﾙｰ100kg未満,ﾏｽﾀｰﾊﾞｯﾁ,ｋｇ,,720305
S720305I00301,NC-20-24-2005 ﾌﾞﾗｳﾝ,NC-ﾌﾞﾗｳﾝ,ＵＴ,,720305
S720305I00401,NC-20-28-2641 ｸﾞﾚｰ,NC-ｸﾞﾚｰ,ＵＴ,,720305
S720305I00501,NC-20-29-0715 黒,NC-ｸﾛ,ＵＴ,,720305
S720305I00601,NC-2-20-8038 ｸﾞﾘｰﾝ,NC-ｸﾞﾘｰﾝ,ＵＴ,,720305
S720305I00701,NC-2-23-2561 ﾍﾞｰｼﾞｭ,NC-ﾍﾞｰｼﾞｭ,ＵＴ,,720305
S720305I00801,X ﾄﾞﾗｲｶﾗｰ 3-25-5520 ﾍﾞｰｼﾞｭ X,NC-ﾍﾞｰｼﾞｭ,ＵＴ,,720305
S720305I00802,X ﾄﾞﾗｲｶﾗｰ 3-23-5520 茶 X,NC-ﾍﾞｰｼﾞｭ,ＵＴ,,720305
S720305I00803,ﾄﾞﾗｲｶﾗｰ 2-24-21640 (3-23-5220) 茶,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305I00804,ﾄﾞﾗｲｶﾗｰ 3-18-15481 ﾚｯﾄﾞ,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305I00805,ﾄﾞﾗｲｶﾗｰ 3-21-33728 ﾌﾞﾙｰ,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305I00806,ﾄﾞﾗｲｶﾗｰ 3-14-13727 ｲｴﾛｰ,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305I00807,ﾄﾞﾗｲｶﾗｰ 3-22-25307 ｸﾞﾘｰﾝ,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305I00808,ﾄﾞﾗｲｶﾗｰ 3-17-17565 ﾋﾟﾝｸ,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305I00809,ﾄﾞﾗｲｶﾗｰ (ｵﾚﾝｼﾞ),HDPR MB ｵﾚ,kg,,720305
S720305I00810,ﾄﾞﾗｲｶﾗｰ DB2-21-22799 ﾌﾞﾙｰ,ﾄﾞﾗｲｶﾗｰﾌﾞﾙ,kg,,720305
S720305I00811,ﾄﾞﾗｲｶﾗｰ 8-28-33550 ｸﾞﾚｰ,ﾄﾞﾗｲｶﾗｰﾌﾞﾙ,kg,,720305
S720305I00901,ﾏﾙﾊｶｶﾞｸ P-4316ﾌﾞﾗｯｸ 25kg～ 石狩入れ,P-4316,kg,,720305
S720305I00902,ﾏﾙﾊｶｶﾞｸ P-4316ﾌﾞﾗｯｸ 100kg～ 石狩入れ,P-4316,kg,,720305
S720305I01001,ﾄｳﾜ PEM20026 ｲｴﾛｰ (50kg～),,,,720305
S720305K00201,ﾄﾞﾗｲｶﾗｰ 9-17-17142 ﾋﾟﾝｸ ｳﾚﾀﾝ P2,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305K00202,ﾄﾞﾗｲｶﾗｰ 9-17-17143 ﾋﾟﾝｸ ｳﾚﾀﾝ FP2,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305K00203,ﾄﾞﾗｲｶﾗｰ 9-17-17145 ﾋﾟﾝｸ ｳﾚﾀﾝ P,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305K00204,ﾄﾞﾗｲｶﾗｰ 9-17-17146 ﾋﾟﾝｸ ｳﾚﾀﾝ FP,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305K00205,ﾄﾞﾗｲｶﾗｰ 9-18-15462 ﾚｯﾄﾞ ｳﾚﾀﾝ R6,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305K00206,ﾄﾞﾗｲｶﾗｰ 9-18-15463 ﾚｯﾄﾞ ｳﾚﾀﾝ FR,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305K00207,ﾄﾞﾗｲｶﾗｰ 9-18-15464 ﾚｯﾄﾞ ｳﾚﾀﾝ R,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305K00208,ﾄﾞﾗｲｶﾗｰ 9-21-33691 ﾌﾞﾙｰ ｳﾚﾀﾝ B9,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305K00209,ﾄﾞﾗｲｶﾗｰ 9-21-33695 ﾌﾞﾙｰ ｳﾚﾀﾝ B3,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305K00210,ﾄﾞﾗｲｶﾗｰ 9-24-21744 ﾌﾞﾗｳﾝ ｳﾚﾀﾝ RBL,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305K00211,ﾄﾞﾗｲｶﾗｰ 9-15-10129 ｵﾚﾝｼﾞｳﾚﾀﾝ YBR,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305K00212,ﾄﾞﾗｲｶﾗｰ 9-22-25280 ｸﾞﾘｰﾝ ｳﾚﾀﾝ FG,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305K00213,ﾄﾞﾗｲｶﾗｰ 9-14-13688 ｲｴﾛｰ ｳﾚﾀﾝ Y11,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305K00214,ﾄﾞﾗｲｶﾗｰ 9-14-13689 ｲｴﾛｰ ｳﾚﾀﾝ FY,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305K00215,ﾄﾞﾗｲｶﾗｰ 9-14-13690 ｲｴﾛｰ ｳﾚﾀﾝ Y,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305K00216,ﾄﾞﾗｲｶﾗｰ 9-14-13760　ｲｴﾛｰ　Y2,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305K00217,ﾄﾞﾗｲｶﾗｰ 9-21-34152　ﾌﾞﾙｰ #243 ｳﾚﾀﾝ用,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305K00218,ﾄﾞﾗｲｶﾗｰ 9-21-34153　ﾌﾞﾙｰ #52 ｳﾚﾀﾝ用,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305K00219,ﾄﾞﾗｲｶﾗｰ 9-21-34154　ﾌﾞﾙｰ #53 ｳﾚﾀﾝ用,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305K00220,ﾄﾞﾗｲｶﾗｰ 9-21-34218　ﾌﾞﾙｰ #59 ｳﾚﾀﾝ用,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
S720305K00221,ﾄﾞﾗｲｶﾗｰ 9-17-17791　ﾋﾟﾝｸ #40 ｳﾚﾀﾝ用,ﾄﾞﾗｲｶﾗｰ,ＵＴ,,720305
