表示ｺｰﾄﾞ,新商品ｺｰﾄﾞ案,商品名,商品名索引,単位,製品長さ(mm),ｶｯﾄ長さ(mm),得意先(検索)ｺｰﾄﾞ
1,700062I000502,ﾌﾟﾗｲｽﾌｯｸ(ﾄｰﾒｰ)L=2000　再生品,ﾌﾟﾗｲｽﾌｯｸ,本,0,0,700062
0,700062I000601,ﾒﾆｭｰ台,ﾒﾆｭｰﾀﾞｲ,本,0,0,700062
0,700091D000101,J-BPM-1(5ｹｲﾘ) 87059,,,80,80,700091
0,700121D000101,ﾄﾘﾑ ﾌﾞﾙｰ,,,0,0,700121
1,700125D000101,RIGID-PIN E2A0522-4,ﾘｼﾞｯﾄﾞﾋﾟﾝ,個,0,0,700125
0,700201D000101,目隠ｼﾌｪﾝｽ用3ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄ ﾎﾜｲﾄ,ﾒｶｸｼﾌｪﾝｽﾖｳ,m,100000,104000,700201
0,700201D000201,目隠ｼﾌｪﾝｽ用3ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞ ﾀﾞｰｸﾌﾞﾗｳﾝ,ﾒｶｸｼﾌｪﾝｽﾖｳ,m,100000,104000,700201
0,700201D000301,目隠ｼﾌｪﾝｽ用3ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞ100m巻 GLBE,ﾒｶｸｼﾌｪﾝｽﾖｳ,巻,100000,104000,700201
1,700201D000401,目隠ｼﾌｪﾝｽ用9ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞL=970 W,ﾒｶｸｼﾌｪﾝｽﾖｳ,本,970,970,700201
1,700201D000402,目隠ｼﾌｪﾝｽ用9ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞL=930 W,ﾒｶｸｼﾌｪﾝｽﾖｳ,本,930,930,700201
1,700201D000403,目隠ｼﾌｪﾝｽ用9ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞL=740 W,ﾒｶｸｼﾌｪﾝｽﾖｳ,本,740,740,700201
1,700201D000404,目隠ｼﾌｪﾝｽ用9ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞL=1000W,ﾒｶｸｼﾌｪﾝｽﾖｳ,本,1000,1000,700201
1,700201D000501,目隠ｼﾌｪﾝｽ用9ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞL=970 GLBE,ﾒｶｸｼﾌｪﾝｽﾖｳ,本,970,970,700201
1,700201D000502,目隠ｼﾌｪﾝｽ用9ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞL=930 GLBE,ﾒｶｸｼﾌｪﾝｽﾖｳ,本,930,930,700201
1,700201D000503,目隠ｼﾌｪﾝｽ用9ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞL=740 GLBE,ﾒｶｸｼﾌｪﾝｽﾖｳ,本,740,740,700201
1,700201D000504,目隠ｼﾌｪﾝｽ用9ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞL=1000GLBE,ﾒｶｸｼﾌｪﾝｽﾖｳ,本,1000,1000,700201
1,700201D000601,目隠ｼﾌｪﾝｽ用9ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞL=970 DBR,ﾒｶｸｼﾌｪﾝｽﾖｳ,本,970,970,700201
1,700201D000602,目隠ｼﾌｪﾝｽ用9ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞL=930 DBR,ﾒｶｸｼﾌｪﾝｽﾖｳ,本,930,930,700201
1,700201D000603,目隠ｼﾌｪﾝｽ用9ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞL=740 DBR,ﾒｶｸｼﾌｪﾝｽﾖｳ,本,740,740,700201
1,700201D000604,目隠ｼﾌｪﾝｽ用9ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞL=1000 DBR,ﾒｶｸｼﾌｪﾝｽﾖｳ,本,1000,1000,700201
0,700201D000701,目隠ｼﾌｪﾝｽ用隙間隠し中間用 L=1930 W,ﾒｶｸｼﾌｪﾝｽﾖｳ,本,0,0,700201
0,700201D000702,目隠ｼﾌｪﾝｽ用隙間隠し中間用 L=1000 W,ﾒｶｸｼﾌｪﾝｽﾖｳ,本,0,0,700201
0,700201D000801,目隠ｼﾌｪﾝｽ用隙間隠ｼ下部用 L=2040 W,ﾒｶｸｼﾌｪﾝｽﾌｪ,本,0,0,700201
0,700201D000802,目隠ｼﾌｪﾝｽ用隙間隠ｼ下部用 L=1000 W,,本,0,0,700201
0,701012I000101,中小上蓋ﾊﾟｯﾄ(三角ﾊﾟｯｷﾝ),ﾁｭｳｼｮｳｳﾜﾌﾞ,ｍ,0,0,701012
