商品ｺｰﾄﾞ,商品名,商品名索引,単位,得意先(検索)ｺｰﾄﾞ
712061D008001,36330-63331ﾎｺﾞｺﾞﾑPSﾊﾟｲﾌﾟ1袋(10000以,,,712061
712122I006002,ｶﾞﾗｽﾗｲﾅｰ 1.5mm L=53 ｶｯﾄ 50000個~,ｶﾞﾗｽﾗｲﾅｰ,個,712122
712122I007002,ｶﾞﾗｽﾗｲﾅｰ 2.0mm L=53 ｶｯﾄ 50000個~,ｶﾞﾗｽﾗｲﾅｰ,個,712122
712122I008002,ｶﾞﾗｽﾗｲﾅｰ 3.0mm L=53 ｶｯﾄ 50000個~,ｶﾞﾗｽﾗｲﾅｰ,個,712122
